;order;sourcename;fieldname;stap_toevoegen;stap_bereken;type;lengte;alias;expression;mag_niet_0_zijn;Toelichting;opmerking;Bron
17;18;CAP_INST_M;K_INST_TOT;st1a;01_kikker;DOUBLE;;Geïnstalleerde capaciteit Rg kikker (m3/h);;;Geïnstalleerde capaciteit uit Kikker;;Kikker
18;19;LAAGSTE_OS;K_OSH;st1a;01_kikker;DOUBLE;;Laagste OSH (NAP);;;Laagste overstorthoogte van stelsel uit Kikker;;Kikker
19;20;BERGING_M3;K_BR_ST_M3;st1a;01_kikker;DOUBLE;;Berging stelsel Kikker (G) (m3);;;Inhoud stelsel uit Kikker in m3;;Kikker
20;21;??? Zoek ik later uit maar wordt niet gebruit in berekening ??;K_BERG_VL;st2a;01_kikker;DOUBLE;;Verloren berging stelsel (m3);;;Verloren inhoud stelsel uit Kikker;;Berekend
21;22;??? Zoek ik later uit maar wordt niet gebruit in berekening ??;K_BR_RZ_M3;st2a;01_kikker;DOUBLE;;Berging randvoorziening (G) (m3);;;Inhoud randvoorzieningen stelsel uit Kikker;;Kikker
22;23;VAN_KNOOPN;K_KNP_NR;st2a;01_kikker;TEXT;50.0;Knoopnummer;;;Knoopnummer;;Kikker
23;24;TTOTAAL_M3;BergendVermogen;st1a;01_gwsw;DOUBLE;;Berging stelsel berekend (G) (m3);BERGING_M3;;Berging stelsel berekend (G) (m3);;GWSW
24;25;;Pompcapaciteit_m3_d;st1a;01_gwsw;DOUBLE;;Pompcapaciteit (m3/dag);CAP_INST_M;;Pompcapaciteit_m3_d;pompcapaciteit * 3,6;GWSW
25;26;;MinOverstortdrempel;st1a;01_gwsw;DOUBLE;;MinOverstortdrempel;LAAGSTE_OS;;MinOverstortdrempel;;GWSW
26;27;;AantalPompen;st1a;01_gwsw;LONG;;AantalPompen;POMPEN_ST;;AantalPompen;;GWSW
27;28;;AantalOverstorten;st1a;01_gwsw;LONG;;AantalOverstorten;OVERSTORT_;;AantalOverstorten;;GWSW
28;29;;AantalDoorlaaten;st1a;01_gwsw;LONG;;AantalDoorlaaten;DOORLAAT_S;;AantalDoorlaaten;;GWSW
